time,id,value
141,78,10898
141,79,7227
141,80,9204
141,81,11587
141,82,8056
141,83,10712
141,84,5588
141,85,10834
141,86,10532
141,87,7668
141,88,7697
141,89,11867
141,90,7389
141,91,8096
141,92,5975
141,93,13046
141,94,8360
141,95,9082
141,96,12419
141,97,0
141,98,0
141,99,0
141,100,0
141,101,22644
141,102,0
141,103,0
141,104,0
141,105,0
141,106,16343
141,107,0
141,108,0
141,109,0
141,110,0
141,111,16349
142,64,13147
142,65,13696
142,66,5767
142,67,6239
142,68,4347
142,69,11393
142,70,10838
142,71,8056
142,72,13966
142,73,13345
142,74,6711
142,75,5903
142,76,9719
142,77,8508
142,78,10898
142,79,7227
142,80,9204
142,81,11587
142,82,8056
142,83,10712
142,84,5588
142,85,10834
142,86,10532
142,87,7668
142,88,7697
142,89,11867
142,90,7389
142,91,8096
142,92,5975
142,93,13046
142,94,8360
142,95,9082
142,96,12419
142,97,0
142,98,0
142,99,0
142,100,0
142,101,22644
142,102,0
142,103,0
142,104,0
142,105,0
142,106,16343
142,107,0
142,108,0
142,109,0
142,110,0
142,111,16349
143,64,13147
143,65,13696
143,66,5767
143,67,6239
143,68,4347
143,69,11393
143,70,10838
143,71,8056
143,72,13966
143,73,13345
143,74,6711
143,75,5903
143,76,9719
143,77,8508
143,78,10898
143,79,7227
143,80,9204
143,81,11587
143,82,8056
143,83,10712
143,84,5588
143,85,10834
143,86,10532
143,87,7668
143,88,7697
143,89,11867
143,90,7389
143,91,8096
143,92,5975
143,93,13046
143,94,8360
143,95,9082
143,96,12419
143,97,0
143,98,0
143,99,0
143,100,0
143,101,22644
143,102,0
143,103,0
143,104,0
143,105,0
143,106,16343
143,107,0
143,108,0
143,109,0
143,110,0
143,111,16349
144,64,13147
144,65,13696
144,66,5767
144,67,6239
144,68,4347
144,69,11393
144,70,10838
144,71,8056
144,72,13966
144,73,13345
144,74,6711
144,75,5903
144,76,9719
144,77,8508
144,78,10898
144,79,7227
144,80,9204
144,81,11587
